Id,Province,Year,Location,Plot,Tree,Species,Diameter,Height,Lat,Long,Biomass
22,AB,1979,Whitecourt-2,10,223,Trembling Aspen,34.1,24.9,54.333,-115.5,562.66
23,AB,1979,Whitecourt-2,10,224,Trembling Aspen,35.3,26.94,54.333,-115.5,671.42
24,AB,1979,Whitecourt-2,10,225,Trembling Aspen,35.1,25.02,54.333,-115.5,530.27
25,AB,1979,Whitecourt-2,10,226,Trembling Aspen,25.9,22.37,54.333,-115.5,227.5
26,AB,1979,Whitecourt-2,10,227,Trembling Aspen,25.2,25.14,54.333,-115.5,289.81
27,AB,1979,Whitecourt-2,10,228,Trembling Aspen,21.1,23.46,54.333,-115.5,166.8
28,AB,1979,Whitecourt-2,10,229,Trembling Aspen,22.9,23.78,54.333,-115.5,218.21
29,AB,1979,Whitecourt-2,10,230,Trembling Aspen,17.8,22.82,54.333,-115.5,122.85
30,AB,1979,Whitecourt-2,10,231,Trembling Aspen,26.1,24.49,54.333,-115.5,279.81
31,AB,1979,Whitecourt-2,10,232,Trembling Aspen,5.7,8.15,54.333,-115.5,6.22
32,AB,1979,Whitecourt-2,10,233,Trembling Aspen,13.3,13.22,54.333,-115.5,42.15
33,AB,1979,Whitecourt-2,10,234,Trembling Aspen,4.4,7.22,54.333,-115.5,3.22
34,AB,1979,Whitecourt-2,10,235,Trembling Aspen,11.9,14.05,54.333,-115.5,33.49
35,AB,1979,Whitecourt-2,10,236,Trembling Aspen,7.3,10.44,54.333,-115.5,9.52
36,AB,1979,Whitecourt-2,10,237,Trembling Aspen,11.6,13.44,54.333,-115.5,31.23
37,AB,1979,Whitecourt-2,10,238,Trembling Aspen,8.4,11.93,54.333,-115.5,13.85
38,AB,1979,Whitecourt-2,10,239,Trembling Aspen,7.8,11.55,54.333,-115.5,12.91
39,AB,1979,Whitecourt-2,10,240,Trembling Aspen,11.9,14.23,54.333,-115.5,39.96
40,AB,1979,Whitecourt-1,9,241,White Spruce,24.3,19.96,54.333,-115.5,211.69
41,AB,1979,Whitecourt-1,9,242,White Spruce,22.8,20.84,54.333,-115.5,181.3
42,AB,1979,Whitecourt-1,9,243,Balsam Fir,17.6,16.8,54.333,-115.5,82.78
43,AB,1979,Whitecourt-1,9,244,Balsam Fir,6.3,7.72,54.333,-115.5,6.97
44,AB,1979,Whitecourt-1,9,245,Balsam Fir,20.1,17.86,54.333,-115.5,105.3
45,AB,1979,Whitecourt-1,9,246,Black Spruce,31.0,22.6,54.333,-115.5,364.86
46,AB,1979,Whitecourt-1,9,247,Black Spruce,23.0,20.97,54.333,-115.5,205.88
47,AB,1979,Whitecourt-1,9,248,Black Spruce,22.5,19.57,54.333,-115.5,190.82
48,AB,1979,Whitecourt-1,9,249,Black Spruce,25.5,21.35,54.333,-115.5,250.73
49,AB,1979,Whitecourt-1,9,250,Black Spruce,31.0,23.53,54.333,-115.5,404.71
50,AB,1979,Whitecourt-1,9,251,Black Spruce,21.0,20.8,54.333,-115.5,155.4
51,AB,1979,Whitecourt-1,9,252,Black Spruce,31.0,22.56,54.333,-115.5,419.9
52,AB,1979,Whitecourt-1,9,253,Black Spruce,23.4,19.0,54.333,-115.5,187.9
53,AB,1979,Whitecourt-1,9,254,Black Spruce,11.0,10.65,54.333,-115.5,36.33
54,AB,1979,Whitecourt-1,9,255,Black Spruce,36.5,21.45,54.333,-115.5,514.89
55,AB,1979,Whitecourt-1,9,256,Black Spruce,35.0,22.53,54.333,-115.5,469.61
56,AB,1979,Whitecourt-1,9,257,Black Spruce,14.8,13.92,54.333,-115.5,60.29
57,AB,1979,Whitecourt-1,9,258,Black Spruce,15.4,16.0,54.333,-115.5,74.78
58,AB,1979,Whitecourt-1,9,259,Balsam Fir,37.7,24.49,54.333,-115.5,577.06
59,AB,1979,Whitecourt-1,9,260,White Spruce,38.6,25.79,54.333,-115.5,599.62
60,AB,1979,Whitecourt-1,9,261,White Spruce,37.6,22.74,54.333,-115.5,623.85
61,AB,1979,Whitecourt-1,9,262,Balsam Fir,33.2,23.1,54.333,-115.5,389.98
62,AB,1979,Whitecourt-1,9,263,White Spruce,31.2,24.3,54.333,-115.5,390.32
63,AB,1979,Whitecourt-1,9,264,White Spruce,43.3,23.93,54.333,-115.5,699.77
64,AB,1979,Whitecourt-1,9,265,Balsam Fir,33.0,23.05,54.333,-115.5,380.23
65,AB,1979,Whitecourt-1,9,266,White Spruce,39.2,25.56,54.333,-115.5,684.39
66,AB,1979,Whitecourt-1,9,267,Balsam Fir,38.3,27.35,54.333,-115.5,598.51
67,AB,1979,Whitecourt-1,9,268,Balsam Fir,32.6,25.31,54.333,-115.5,414.1
68,AB,1979,Whitecourt-1,9,269,Black Spruce,13.8,13.68,54.333,-115.5,50.32
69,AB,1979,Whitecourt-1,9,270,Black Spruce,13.5,14.12,54.333,-115.5,46.92
70,AB,1979,Whitecourt-1,9,271,Black Spruce,9.2,7.94,54.333,-115.5,18.73
71,AB,1979,Whitecourt-1,9,272,Black Spruce,6.6,6.26,54.333,-115.5,7.83
72,AB,1979,Whitecourt-1,9,273,Black Spruce,4.5,5.28,54.333,-115.5,3.56
73,AB,1979,Whitecourt-1,9,274,Black Spruce,2.7,3.3,54.333,-115.5,0.84
74,AB,1979,Whitecourt-1,9,275,Black Spruce,3.8,4.06,54.333,-115.5,2.89
75,AB,1979,Whitecourt-3,11,276,Balsam Fir,14.6,16.19,54.333,-115.5,53.11
76,AB,1979,Whitecourt-3,11,277,Balsam Fir,12.3,13.04,54.333,-115.5,41.53
77,AB,1979,Whitecourt-3,11,278,Balsam Fir,6.5,6.39,54.333,-115.5,7.32
78,AB,1979,Whitecourt-3,11,279,Balsam Fir,9.3,10.71,54.333,-115.5,19.86
79,AB,1979,Whitecourt-3,11,280,Balsam Fir,6.9,9.69,54.333,-115.5,10.36
80,AB,1979,Whitecourt-3,11,281,Balsam Fir,5.4,4.58,54.333,-115.5,4.5
81,AB,1979,Whitecourt-3,11,282,Balsam Fir,14.7,12.97,54.333,-115.5,61.81
82,AB,1979,Whitecourt-3,11,283,Balsam Fir,25.0,18.55,54.333,-115.5,164.67
83,AB,1979,Whitecourt-3,11,284,White Spruce,22.8,17.9,54.333,-115.5,200.34
84,AB,1979,Whitecourt-3,11,285,White Spruce,21.0,21.58,54.333,-115.5,168.59
85,AB,1979,Whitecourt-3,11,286,White Spruce,24.6,24.16,54.333,-115.5,229.52
86,AB,1979,Whitecourt-3,11,287,White Spruce,19.9,20.67,54.333,-115.5,140.12
87,AB,1979,Whitecourt-3,11,288,White Spruce,15.7,16.24,54.333,-115.5,76.98
88,AB,1979,Whitecourt-3,11,289,White Spruce,13.6,16.93,54.333,-115.5,54.55
89,AB,1979,Whitecourt-3,11,290,White Spruce,14.9,17.73,54.333,-115.5,66.03
90,AB,1979,Whitecourt-3,11,291,White Spruce,11.4,13.03,54.333,-115.5,30.44
91,AB,1979,Whitecourt-3,11,292,White Spruce,6.2,5.42,54.333,-115.5,5.91
92,AB,1979,Whitecourt-3,11,293,White Spruce,7.4,6.06,54.333,-115.5,10.04
93,AB,1979,Whitecourt-3,11,294,White Spruce,9.1,10.12,54.333,-115.5,16.46
94,AB,1979,Whitecourt-3,11,295,White Spruce,4.2,3.8,54.333,-115.5,2.43
95,AB,1979,Whitecourt-3,11,296,White Spruce,3.0,3.74,54.333,-115.5,1.24
96,AB,1979,Whitecourt-3,11,297,Balsam Fir,26.4,22.98,54.333,-115.5,246.77
97,AB,1979,Whitecourt-3,11,298,Balsam Fir,25.8,22.17,54.333,-115.5,233.05
98,AB,1979,Whitecourt-3,11,299,Balsam Fir,24.3,21.32,54.333,-115.5,187.51
99,AB,1979,Whitecourt-3,11,300,Balsam Fir,27.7,22.1,54.333,-115.5,237.26
100,AB,1979,Grande-Prairie-1,12,301,Lodgepole Pine,22.0,16.5,54.333,-119.333,150.05
101,AB,1979,Grande-Prairie-1,12,302,Lodgepole Pine,23.9,16.59,54.333,-119.333,238.28
102,AB,1979,Grande-Prairie-1,12,303,Lodgepole Pine,24.6,17.7,54.333,-119.333,214.38
103,AB,1979,Grande-Prairie-1,12,304,Lodgepole Pine,21.1,17.1,54.333,-119.333,157.26
104,AB,1979,Grande-Prairie-1,12,305,Lodgepole Pine,23.0,17.55,54.333,-119.333,155.6
105,AB,1979,Blaimore,16,306,Lodgepole Pine,6.1,7.91,49.283,-114.367,8.17
106,AB,1979,Blaimore,16,307,Lodgepole Pine,5.8,6.7,49.283,-114.367,4.58
107,AB,1979,Blaimore,16,308,Lodgepole Pine,7.0,8.17,49.283,-114.367,9.59
108,AB,1979,Blaimore,16,309,Lodgepole Pine,8.2,9.52,49.283,-114.367,12.81
109,AB,1979,Blaimore,16,310,Lodgepole Pine,10.0,9.37,49.283,-114.367,22.79
110,AB,1979,Blaimore,16,311,Lodgepole Pine,17.4,14.15,49.283,-114.367,87.37
111,AB,1979,Blaimore,16,312,Lodgepole Pine,14.1,13.88,49.283,-114.367,65.27
112,AB,1979,Grande-Prairie-1,12,313,Lodgepole Pine,34.5,20.53,54.333,-119.333,435.35
113,AB,1979,Grande-Prairie-1,12,314,Lodgepole Pine,36.8,21.74,54.333,-119.333,507.61
114,AB,1979,Grande-Prairie-1,12,315,Lodgepole Pine,32.3,23.52,54.333,-119.333,378.13
115,AB,1979,Grande-Prairie-1,12,316,Lodgepole Pine,33.0,22.54,54.333,-119.333,429.31
116,AB,1979,Grande-Prairie-1,12,317,Lodgepole Pine,31.7,21.39,54.333,-119.333,380.45
117,AB,1979,Blaimore,16,318,Lodgepole Pine,18.2,16.15,49.283,-114.367,100.0
118,AB,1979,Blaimore,16,319,Lodgepole Pine,14.8,15.55,49.283,-114.367,65.45
119,AB,1979,Blaimore,16,320,Lodgepole Pine,17.9,16.05,49.283,-114.367,74.97
120,AB,1979,Grande-Prairie-2,13,321,Alpine Fir,33.1,17.95,54.333,-119.5,311.74
121,AB,1979,Grande-Prairie-2,13,322,Alpine Fir,31.7,20.49,54.333,-119.5,339.27
122,AB,1979,Grande-Prairie-2,13,323,Alpine Fir,25.0,16.07,54.333,-119.5,163.8
123,AB,1979,Grande-Prairie-2,13,324,Alpine Fir,22.4,18.93,54.333,-119.5,160.32
124,AB,1979,Grande-Prairie-2,13,325,Alpine Fir,21.3,15.73,54.333,-119.5,119.65
125,AB,1979,Grande-Prairie-2,13,326,Alpine Fir,35.9,23.3,54.333,-119.5,414.39
126,AB,1979,Grande-Prairie-2,13,327,Alpine Fir,25.4,19.9,54.333,-119.5,222.15
127,AB,1979,Grande-Prairie-2,13,328,Alpine Fir,36.5,21.7,54.333,-119.5,392.69
128,AB,1979,Grande-Prairie-2,13,329,Alpine Fir,22.8,17.47,54.333,-119.5,162.33
129,AB,1979,Grande-Prairie-2,13,330,Alpine Fir,31.7,20.58,54.333,-119.5,261.64
130,AB,1979,Grande-Prairie-2,13,331,Alpine Fir,14.3,13.52,54.333,-119.5,51.94
131,AB,1979,Grande-Prairie-2,13,332,Alpine Fir,15.3,14.94,54.333,-119.5,69.4
132,AB,1979,Grande-Prairie-2,13,333,Alpine Fir,15.9,12.6,54.333,-119.5,47.31
133,AB,1979,Grande-Prairie-2,13,334,Alpine Fir,19.7,14.56,54.333,-119.5,119.49
134,AB,1979,Grande-Prairie-2,13,335,Alpine Fir,11.5,8.42,54.333,-119.5,25.25
135,AB,1979,Grande-Prairie-2,13,336,Alpine Fir,7.7,6.54,54.333,-119.5,8.38
136,AB,1979,Grande-Prairie-2,13,337,Alpine Fir,3.8,3.22,54.333,-119.5,2.29
137,AB,1979,Grande-Prairie-2,13,338,Alpine Fir,2.1,2.2,54.333,-119.5,1.67
138,AB,1979,Grande-Prairie-2,13,339,Alpine Fir,9.6,7.18,54.333,-119.5,17.37
139,AB,1979,Grande-Prairie-2,13,340,Alpine Fir,7.8,7.45,54.333,-119.5,10.13
140,AB,1979,Nordegg-2,15,341,Lodgepole Pine,33.6,20.7,52.417,-116.333,343.68
141,AB,1979,Nordegg-2,15,342,Lodgepole Pine,32.9,22.38,52.417,-116.333,399.95
142,AB,1979,Nordegg-2,15,343,Lodgepole Pine,32.3,20.9,52.417,-116.333,349.9
143,AB,1979,Nordegg-2,15,344,Lodgepole Pine,36.1,20.53,52.417,-116.333,428.21
144,AB,1979,Nordegg-2,15,345,Lodgepole Pine,31.3,19.2,52.417,-116.333,347.14
145,AB,1979,Nordegg-2,15,346,Lodgepole Pine,21.2,16.81,52.417,-116.333,148.31
146,AB,1979,Nordegg-2,15,347,Lodgepole Pine,21.1,18.55,52.417,-116.333,159.69
147,AB,1979,Nordegg-2,15,348,Lodgepole Pine,21.8,18.14,52.417,-116.333,162.01
148,AB,1979,Nordegg-2,15,349,Lodgepole Pine,26.0,20.77,52.417,-116.333,248.26
149,AB,1979,Nordegg-2,15,350,Lodgepole Pine,25.2,19.9,52.417,-116.333,233.03
150,AB,1979,Blaimore,16,351,Lodgepole Pine,14.4,13.23,49.283,-114.367,54.41
151,AB,1979,Blaimore,16,352,Lodgepole Pine,13.4,12.7,49.283,-114.367,45.06
152,AB,1979,Blaimore,16,353,Lodgepole Pine,7.4,10.65,49.283,-114.367,13.91
153,AB,1979,Blaimore,16,354,Lodgepole Pine,15.5,13.05,49.283,-114.367,76.75
154,AB,1979,Blaimore,16,355,Lodgepole Pine,12.5,11.58,49.283,-114.367,39.25
155,AB,1979,Blaimore,16,356,Lodgepole Pine,5.1,6.25,49.283,-114.367,4.32
156,AB,1979,Blaimore,16,357,Lodgepole Pine,17.5,14.05,49.283,-114.367,90.97
157,AB,1979,Blaimore,16,358,Lodgepole Pine,4.3,4.94,49.283,-114.367,2.67
158,AB,1979,Blaimore,16,359,Lodgepole Pine,10.1,11.35,49.283,-114.367,22.28
159,AB,1979,Blaimore,16,360,Lodgepole Pine,9.6,11.4,49.283,-114.367,21.43
160,AB,1979,Nordegg-1,14,361,Alpine Fir,31.0,23.72,52.417,-116.5,404.45
161,AB,1979,Nordegg-1,14,362,Alpine Fir,31.6,20.95,52.417,-116.5,380.49
162,AB,1979,Nordegg-1,14,363,Alpine Fir,31.7,19.69,52.417,-116.5,355.8
163,AB,1979,Nordegg-1,14,364,Alpine Fir,34.4,20.53,52.417,-116.5,415.5
164,AB,1979,Nordegg-1,14,365,Alpine Fir,34.7,23.37,52.417,-116.5,444.26
165,AB,1979,Nordegg-1,14,366,Alpine Fir,22.8,18.62,52.417,-116.5,161.45
166,AB,1979,Nordegg-1,14,367,Alpine Fir,27.3,20.7,52.417,-116.5,226.96
167,AB,1979,Nordegg-1,14,368,Alpine Fir,21.0,17.85,52.417,-116.5,137.11
168,AB,1979,Nordegg-1,14,369,Alpine Fir,23.7,16.3,52.417,-116.5,142.97
169,AB,1979,Nordegg-1,14,370,Alpine Fir,22.0,16.38,52.417,-116.5,140.06
170,AB,1979,Nordegg-1,14,371,Alpine Fir,18.2,15.4,52.417,-116.5,89.71
171,AB,1979,Nordegg-1,14,372,Alpine Fir,15.3,13.6,52.417,-116.5,61.44
172,AB,1979,Nordegg-1,14,373,Alpine Fir,9.5,11.8,52.417,-116.5,20.82
173,AB,1979,Nordegg-1,14,374,Alpine Fir,14.0,12.98,52.417,-116.5,44.29
174,AB,1979,Nordegg-1,14,375,Alpine Fir,11.5,11.09,52.417,-116.5,27.72
175,AB,1979,Nordegg-1,14,376,Alpine Fir,7.0,7.5,52.417,-116.5,8.45
176,AB,1979,Nordegg-1,14,377,Alpine Fir,12.9,13.18,52.417,-116.5,40.36
177,AB,1979,Nordegg-1,14,378,Alpine Fir,7.5,8.32,52.417,-116.5,10.46
178,AB,1979,Nordegg-1,14,379,Alpine Fir,9.0,8.55,52.417,-116.5,16.81
179,AB,1979,Nordegg-1,14,380,Alpine Fir,6.5,7.46,52.417,-116.5,6.57
180,AB,1979,Nordegg-2,15,381,Lodgepole Pine,34.0,25.14,52.417,-116.333,458.5
181,AB,1979,Nordegg-2,15,382,Lodgepole Pine,32.4,24.85,52.417,-116.333,478.22
182,AB,1979,Nordegg-2,15,383,Lodgepole Pine,32.6,23.54,52.417,-116.333,390.4
183,AB,1979,Nordegg-2,15,384,Lodgepole Pine,39.0,25.3,52.417,-116.333,694.39
184,AB,1979,Nordegg-2,15,385,Lodgepole Pine,32.6,25.9,52.417,-116.333,419.18
185,AB,1979,Nordegg-1,14,386,Alpine Fir,24.7,19.65,52.417,-116.5,228.01
186,AB,1979,Nordegg-1,14,387,Alpine Fir,31.7,22.46,52.417,-116.5,389.88
187,AB,1979,Nordegg-1,14,388,Alpine Fir,33.0,20.48,52.417,-116.5,401.01
188,AB,1979,Nordegg-1,14,389,Alpine Fir,20.0,15.2,52.417,-116.5,131.81
189,AB,1979,Nordegg-1,14,390,Alpine Fir,21.1,17.25,52.417,-116.5,167.03
190,AB,1979,Nordegg-1,14,391,Alpine Fir,16.5,16.26,52.417,-116.5,77.5
191,AB,1979,Nordegg-1,14,392,Alpine Fir,8.6,6.85,52.417,-116.5,14.62
192,AB,1979,Nordegg-1,14,393,Alpine Fir,13.5,12.45,52.417,-116.5,40.75
193,AB,1979,Nordegg-1,14,394,Alpine Fir,3.7,2.8,52.417,-116.5,2.55
194,AB,1979,Nordegg-1,14,395,Alpine Fir,8.9,6.4,52.417,-116.5,15.88
195,AB,1979,Nordegg-1,14,396,Alpine Fir,36.5,21.75,52.417,-116.5,431.03
196,AB,1979,Nordegg-1,14,397,Alpine Fir,4.1,3.38,52.417,-116.5,2.63
197,AB,1979,Nordegg-1,14,398,Alpine Fir,7.7,7.3,52.417,-116.5,10.01
198,AB,1979,Nordegg-1,14,399,Alpine Fir,32.4,20.55,52.417,-116.5,461.79
199,AB,1979,Nordegg-1,14,400,Alpine Fir,34.4,20.9,52.417,-116.5,422.11
200,AB,1979,Nordegg-1,14,401,Alpine Fir,25.7,18.4,52.417,-116.5,225.69
201,AB,1979,Nordegg-1,14,402,Alpine Fir,12.3,12.73,52.417,-116.5,30.15
202,AB,1979,Nordegg-1,14,403,Alpine Fir,12.6,10.05,52.417,-116.5,38.6
203,AB,1979,Nordegg-1,14,404,Alpine Fir,23.9,21.15,52.417,-116.5,218.95
204,AB,1979,Nordegg-1,14,405,Alpine Fir,22.4,19.7,52.417,-116.5,157.72
205,AB,1979,Nordegg-2,15,406,Lodgepole Pine,24.6,15.95,52.417,-116.333,199.94
206,AB,1979,Nordegg-2,15,407,Lodgepole Pine,21.0,20.3,52.417,-116.333,175.35
207,AB,1979,Nordegg-2,15,408,Lodgepole Pine,23.6,19.95,52.417,-116.333,211.51
208,AB,1979,Nordegg-2,15,409,Lodgepole Pine,23.6,22.35,52.417,-116.333,220.89
209,AB,1979,Nordegg-2,15,410,Lodgepole Pine,22.9,18.6,52.417,-116.333,182.26
210,AB,1979,Blaimore,16,411,Lodgepole Pine,6.3,9.6,49.283,-114.367,8.55
211,AB,1979,Blaimore,16,412,Lodgepole Pine,8.8,8.07,49.283,-114.367,11.83
212,AB,1979,Blaimore,16,413,Lodgepole Pine,7.2,5.35,49.283,-114.367,6.77
213,AB,1979,Blaimore,16,414,Lodgepole Pine,6.9,8.5,49.283,-114.367,9.51
214,AB,1979,Blaimore,16,415,Lodgepole Pine,13.4,10.5,49.283,-114.367,32.32
215,AB,1979,Blaimore,16,416,Lodgepole Pine,12.4,10.68,49.283,-114.367,31.83
216,AB,1979,Blaimore,16,417,Lodgepole Pine,11.8,8.75,49.283,-114.367,22.13
217,AB,1979,Blaimore,16,418,Lodgepole Pine,10.4,6.0,49.283,-114.367,14.12
218,AB,1979,Blaimore,16,419,Lodgepole Pine,18.1,12.8,49.283,-114.367,72.55
219,AB,1979,Blaimore,16,420,Lodgepole Pine,17.1,12.9,49.283,-114.367,63.84
220,AB,1980,Mitsue Lake,17,1,Tamarack Larch,31.6,17.97,55.083,-114.5,347.02
221,AB,1980,Mitsue Lake,17,2,Tamarack Larch,33.6,18.75,55.083,-114.5,342.52
222,AB,1980,Mitsue Lake,17,3,Tamarack Larch,32.4,20.4,55.083,-114.5,363.7
223,AB,1980,Mitsue Lake,17,4,Tamarack Larch,38.0,17.65,55.083,-114.5,487.82
224,AB,1980,Mitsue Lake,17,5,Tamarack Larch,25.2,16.9,55.083,-114.5,212.2
225,AB,1980,Mitsue Lake,17,6,Tamarack Larch,25.5,18.15,55.083,-114.5,231.51
226,AB,1980,Mitsue Lake,17,7,Tamarack Larch,23.0,17.33,55.083,-114.5,166.25
227,AB,1980,Mitsue Lake,17,8,Tamarack Larch,21.2,16.68,55.083,-114.5,174.05
228,AB,1980,Mitsue Lake,17,9,Tamarack Larch,21.5,18.0,55.083,-114.5,158.95
229,AB,1980,Mitsue Lake,17,10,Tamarack Larch,31.0,18.95,55.083,-114.5,333.37
230,AB,1980,Mitsue Lake,17,11,Tamarack Larch,16.2,13.12,55.083,-114.5,62.94
231,AB,1980,Mitsue Lake,17,12,Tamarack Larch,19.0,12.85,55.083,-114.5,81.94
232,AB,1980,Mitsue Lake,17,13,Tamarack Larch,15.7,10.78,55.083,-114.5,61.07
233,AB,1980,Mitsue Lake,17,14,Tamarack Larch,12.5,8.82,55.083,-114.5,38.7
234,AB,1980,Mitsue Lake,17,15,Tamarack Larch,11.2,9.43,55.083,-114.5,30.98
235,AB,1980,Mitsue Lake,17,16,Tamarack Larch,3.0,3.25,55.083,-114.5,1.5
236,AB,1980,Mitsue Lake,17,17,Tamarack Larch,4.6,4.15,55.083,-114.5,3.94
237,AB,1980,Mitsue Lake,17,18,Tamarack Larch,5.3,6.2,55.083,-114.5,5.61
238,AB,1980,Mitsue Lake,17,19,Tamarack Larch,8.0,8.4,55.083,-114.5,14.07
239,AB,1980,Mitsue Lake,17,20,Tamarack Larch,9.8,9.68,55.083,-114.5,24.99
240,AB,1980,Marlen Creek-2,19,21,White Birch,17.3,16.3,55.333,-114.75,128.57
241,AB,1980,Marlen Creek-1,18,22,White Birch,22.8,18.5,55.333,-114.75,233.57
242,AB,1980,Marlen Creek-1,18,23,White Birch,39.0,21.38,55.333,-114.75,894.99
243,AB,1980,Marlen Creek-1,18,24,White Birch,22.2,18.15,55.333,-114.75,237.26
244,AB,1980,Marlen Creek-1,18,25,White Birch,28.8,21.58,55.333,-114.75,432.86
245,AB,1980,Marlen Creek-1,18,26,White Birch,37.7,23.25,55.333,-114.75,715.47
246,AB,1980,Marlen Creek-1,18,27,White Birch,34.4,21.52,55.333,-114.75,728.42
247,AB,1980,Marlen Creek-1,18,28,White Birch,21.5,15.9,55.333,-114.75,237.16
248,AB,1980,Marlen Creek-1,18,29,White Birch,27.3,18.3,55.333,-114.75,356.73
249,AB,1980,Marlen Creek-1,18,30,White Birch,37.5,19.9,55.333,-114.75,807.87
250,AB,1980,Marlen Creek-1,18,31,White Birch,37.5,20.2,55.333,-114.75,733.67
251,AB,1980,Marlen Creek-2,19,32,White Birch,6.2,10.75,55.333,-114.75,5.87
252,AB,1980,Marlen Creek-2,19,33,White Birch,8.5,12.8,55.333,-114.75,22.99
253,AB,1980,Marlen Creek-2,19,34,White Birch,5.1,8.9,55.333,-114.75,6.12
254,AB,1980,Marlen Creek-2,19,35,White Birch,8.4,14.8,55.333,-114.75,22.81
255,AB,1980,Marlen Creek-2,19,36,White Birch,4.5,10.1,55.333,-114.75,5.26
256,AB,1980,Marlen Creek-2,19,37,White Birch,14.8,18.15,55.333,-114.75,82.13
257,AB,1980,Marlen Creek-2,19,38,White Birch,12.0,16.8,55.333,-114.75,57.43
258,AB,1980,Marlen Creek-2,19,39,White Birch,14.5,16.6,55.333,-114.75,89.61
259,AB,1980,Marlen Creek-2,19,40,White Birch,16.2,14.6,55.333,-114.75,99.82
260,AB,1980,Marlen Creek-2,19,41,Balsam Poplar,28.7,22.1,55.333,-114.75,262.03
261,AB,1980,Marlen Creek-2,19,42,Balsam Poplar,26.4,22.1,55.333,-114.75,219.91
262,AB,1980,Marlen Creek-2,19,43,Balsam Poplar,33.0,22.52,55.333,-114.75,352.88
263,AB,1980,Marlen Creek-2,19,44,Balsam Poplar,32.4,22.8,55.333,-114.75,242.15
264,AB,1980,Marlen Creek-2,19,45,Balsam Poplar,24.5,21.6,55.333,-114.75,181.17
265,AB,1980,Marlen Creek-2,19,46,Balsam Poplar,32.2,22.68,55.333,-114.75,370.67
266,AB,1980,Marlen Creek-2,19,47,Balsam Poplar,45.3,22.7,55.333,-114.75,626.69
267,AB,1980,Marlen Creek-2,19,48,Balsam Poplar,34.5,22.8,55.333,-114.75,350.89
268,AB,1980,Marlen Creek-2,19,49,Balsam Poplar,22.9,22.3,55.333,-114.75,202.57
269,AB,1980,Marlen Creek-2,19,50,Balsam Poplar,22.5,21.8,55.333,-114.75,183.52
270,AB,1980,Marlen Creek-3,20,51,Balsam Poplar,2.0,3.5,55.333,-114.75,0.54
271,AB,1980,Marlen Creek-3,20,52,Balsam Poplar,3.8,6.2,55.333,-114.75,2.05
272,AB,1980,Marlen Creek-3,20,53,Balsam Poplar,9.9,10.27,55.333,-114.75,23.04
273,AB,1980,Marlen Creek-3,20,54,Balsam Poplar,4.5,6.7,55.333,-114.75,2.97
274,AB,1980,Marlen Creek-3,20,55,Balsam Poplar,6.1,8.6,55.333,-114.75,6.27
275,AB,1980,Marlen Creek-3,20,56,Balsam Poplar,18.4,13.9,55.333,-114.75,84.35
276,AB,1980,Marlen Creek-3,20,57,Balsam Poplar,14.6,13.3,55.333,-114.75,47.96
277,AB,1980,Marlen Creek-3,20,58,Balsam Poplar,14.5,15.5,55.333,-114.75,51.09
278,AB,1980,Marlen Creek-3,20,59,Balsam Poplar,14.5,16.4,55.333,-114.75,47.74
